Y-Axis,X-Axis,Number of Hits
B,9,308
B,2,369
I,6,338
D,7,290
H,8,301
C,5,349
A,6,371
G,2,317
G,1,301
I,3,322
I,9,302
B,8,331
D,2,352
D,6,328
G,7,319
C,3,330
D,1,353
G,6,311
A,5,368
F,8,357
G,4,330
G,5,327
D,8,326
E,3,377
H,5,317
E,7,321
E,9,335
I,8,300
F,4,360
I,2,339
H,9,308
B,5,344
A,3,345
H,3,328
D,4,337
C,7,320
C,9,296
D,9,323
B,7,308
C,2,347
G,8,301
E,5,372
A,7,293
F,3,337
H,1,303
F,5,363
E,1,357
C,4,350
B,4,364
I,5,322
F,2,389
H,7,301
F,1,337
I,1,341
H,2,314
C,8,311
B,3,346
A,8,330
G,9,315
F,9,305
I,4,293
B,1,367
I,7,307
A,4,330
G,3,316
A,1,377
E,8,300
C,1,359
D,3,344
E,2,349
F,6,366
C,6,395
F,7,294
A,9,317
H,6,321
E,6,369
H,4,318
A,2,350
E,4,325
D,5,342
B,6,366
