Y-Axis,X-Axis,Number of Hits
B,9,380
B,2,328
I,6,310
D,7,370
H,8,336
C,5,355
A,6,336
G,2,289
G,1,313
I,3,306
I,9,329
B,8,351
D,2,333
D,6,338
G,7,302
C,3,297
D,1,325
G,6,323
A,5,371
F,8,375
G,4,311
G,5,339
D,8,350
E,3,319
H,5,307
E,7,374
E,9,352
I,8,316
F,4,346
I,2,301
H,9,333
B,5,353
A,3,316
H,3,273
D,4,383
C,7,351
C,9,349
D,9,338
B,7,324
C,2,287
G,8,306
E,5,327
A,7,368
F,3,317
H,1,323
F,5,363
E,1,333
C,4,372
B,4,359
I,5,314
F,2,337
H,7,313
F,1,338
I,1,307
H,2,300
C,8,357
B,3,323
A,8,339
G,9,301
F,9,368
I,4,333
B,1,323
I,7,305
A,4,368
G,3,267
A,1,325
E,8,369
C,1,342
D,3,335
E,2,320
F,6,357
C,6,336
F,7,363
A,9,360
H,6,331
E,6,338
H,4,286
A,2,311
E,4,337
D,5,322
B,6,365
