Y-Axis,X-Axis,Number of Hits
B,9,314
B,2,298
I,6,348
D,7,298
H,8,319
C,5,294
A,6,314
G,2,346
G,1,357
I,3,334
I,9,323
B,8,269
D,2,342
D,6,364
G,7,316
C,3,300
D,1,342
G,6,353
A,5,322
F,8,323
G,4,375
G,5,352
D,8,334
E,3,367
H,5,355
E,7,309
E,9,327
I,8,301
F,4,350
I,2,351
H,9,328
B,5,321
A,3,324
H,3,345
D,4,379
C,7,304
C,9,285
D,9,344
B,7,282
C,2,298
G,8,313
E,5,348
A,7,306
F,3,346
H,1,380
F,5,344
E,1,333
C,4,311
B,4,302
I,5,372
F,2,353
H,7,344
F,1,351
I,1,328
H,2,381
C,8,289
B,3,336
A,8,326
G,9,288
F,9,305
I,4,362
B,1,325
I,7,329
A,4,362
G,3,355
A,1,347
E,8,329
C,1,295
D,3,324
E,2,327
F,6,354
C,6,308
F,7,335
A,9,301
H,6,352
E,6,374
H,4,366
A,2,344
E,4,378
D,5,365
B,6,311
