Y-Axis,X-Axis,Number of Hits
B,9,284
B,2,290
I,6,355
D,7,344
H,8,341
C,5,326
A,6,315
G,2,310
G,1,322
I,3,345
I,9,374
B,8,350
D,2,311
D,6,366
G,7,358
C,3,280
D,1,339
G,6,361
A,5,324
F,8,345
G,4,352
G,5,344
D,8,335
E,3,319
H,5,370
E,7,333
E,9,351
I,8,382
F,4,366
I,2,296
H,9,316
B,5,336
A,3,313
H,3,331
D,4,361
C,7,328
C,9,296
D,9,380
B,7,301
C,2,310
G,8,346
E,5,343
A,7,333
F,3,335
H,1,371
F,5,373
E,1,332
C,4,328
B,4,315
I,5,378
F,2,345
H,7,383
F,1,331
I,1,327
H,2,324
C,8,332
B,3,310
A,8,322
G,9,348
F,9,368
I,4,362
B,1,278
I,7,346
A,4,333
G,3,314
A,1,269
E,8,349
C,1,316
D,3,305
E,2,318
F,6,327
C,6,343
F,7,356
A,9,338
H,6,358
E,6,366
H,4,366
A,2,261
E,4,328
D,5,339
B,6,322
