Y-Axis,X-Axis,Number of Hits
B,9,293
B,2,322
I,6,333
D,7,349
H,8,311
C,5,338
A,6,319
G,2,339
G,1,322
I,3,300
I,9,292
B,8,321
D,2,330
D,6,401
G,7,285
C,3,322
D,1,343
G,6,316
A,5,346
F,8,312
G,4,307
G,5,301
D,8,326
E,3,354
H,5,335
E,7,330
E,9,321
I,8,327
F,4,370
I,2,306
H,9,323
B,5,325
A,3,343
H,3,333
D,4,408
C,7,322
C,9,325
D,9,315
B,7,336
C,2,316
G,8,279
E,5,377
A,7,327
F,3,315
H,1,299
F,5,403
E,1,332
C,4,342
B,4,330
I,5,306
F,2,304
H,7,292
F,1,296
I,1,327
H,2,283
C,8,317
B,3,325
A,8,301
G,9,332
F,9,315
I,4,330
B,1,320
I,7,331
A,4,339
G,3,310
A,1,337
E,8,328
C,1,319
D,3,334
E,2,337
F,6,364
C,6,330
F,7,317
A,9,283
H,6,339
E,6,392
H,4,336
A,2,319
E,4,386
D,5,424
B,6,324
